Date,Open,High,Low,Close,Volume
,FIX,FIX,FIX,FIX,FIX
2024-01-26,204.79114415302715,207.1263396853543,204.4731687909829,206.043212890625,174600
2024-01-29,205.90407538897261,211.7768163682517,205.53639698599383,211.65757751464844,235800
2024-01-30,211.3097726605261,220.79958705834179,211.3097726605261,220.7797088623047,371300
2024-01-31,220.7598706117466,220.7698021295696,214.91692365582017,216.09942626953125,445800
2024-02-01,217.66947225724243,223.96951169004458,216.17892578914348,223.58197021484375,249000
2024-02-02,221.04803764231914,230.4583555340917,221.04803764231914,229.8323211669922,275100
2024-02-05,227.07978836844035,227.48719287622467,219.59724637102883,222.6578369140625,264200
2024-02-06,222.65782853430093,225.26131139454532,221.46537928407344,225.1321258544922,203900
2024-02-07,226.61272953706424,232.4457293093694,223.52232954696316,230.48814392089844,297900
2024-02-08,230.7465307525764,236.8378868457513,230.7465307525764,235.67526245117188,274800
2024-02-09,234.6120048978941,239.84878023175557,234.27413619682096,238.98426818847656,266500
2024-02-12,238.4874490638058,244.30058669978553,237.23539541476532,242.1840057373047,310300
2024-02-13,235.50632703164317,238.88489274679523,231.620965845383,236.24166870117188,382600
2024-02-14,239.3519434584883,246.11902189764368,238.60667023545142,246.0594024658203,270000
2024-02-15,248.404522078623,251.49492222456354,243.9825707862314,251.20675659179688,441500
2024-02-16,249.59697085784623,251.19682469629163,245.98985866411687,246.93386840820312,297100
2024-02-20,242.83984576773486,245.6023241264806,240.1171086449421,245.44332885742188,408700
2024-02-21,244.90672376637536,245.2942652343125,238.28869393302838,240.33570861816406,337100
2024-02-22,241.30951408228236,248.58338756739064,241.30951408228236,246.28794860839844,350900
2024-02-23,266.211570591202,290.5671075212772,264.73097092903186,277.3012390136719,775000
2024-02-26,278.16573999419484,283.63107636399224,272.6407841991099,282.88580322265625,523700
2024-02-27,287.1885965771918,290.3286851078137,280.17309288465464,289.3150939941406,432700
2024-02-28,289.3149986835615,293.08112040834715,286.343853092435,292.0377502441406,500700
2024-02-29,295.29711305432113,304.0714490413959,292.0178929577488,303.80316162109375,644100
2024-03-01,303.7435632558438,313.4321150000424,301.090377281248,312.4483337402344,499800
2024-03-04,312.9551173587216,327.3537855468609,312.9551173587216,318.1819763183594,547200
2024-03-05,315.94617671009354,320.39792272831926,310.89817571768293,312.9451904296875,789500
2024-03-06,313.7401590895572,315.7672803911991,308.9803390197786,311.5341491699219,393400
2024-03-07,311.85237926663336,312.6977024285802,305.6965097765548,312.5286560058594,531600
2024-03-08,315.9496924789152,318.4756768849828,306.681032312578,308.3119812011719,353300
2024-03-11,307.0887762836129,307.67552212512635,293.19574069038964,295.1349792480469,629000
2024-03-12,295.3936042959792,301.45004969136664,293.82232216879044,300.3660583496094,598500
2024-03-13,300.98252591681796,304.5030305760123,297.18356514810455,298.40679931640625,438200
2024-03-14,298.844428463403,302.16602346063024,296.06979116218776,300.77374267578125,525000
2024-03-15,300.25663819296994,308.2125635994144,300.25663819296994,306.8699951171875,1024500
2024-03-18,308.67991771282476,313.1750038011559,305.34836850193307,307.8345947265625,315600
