Date,Open,High,Low,Close,Volume
,SNDK,SNDK,SNDK,SNDK,SNDK
4/28/25,32.63000107,33,31.65999985,32.27000046,1421000
4/29/25,31.38999939,33.04000092,31.38999939,32.93999863,1385900
4/30/25,31.84000015,32.47000122,31.01000023,32.11000061,2322100
5/1/25,32.47999954,34.18999863,32.47999954,32.59000015,1910200
5/2/25,33.11000061,35.40999985,33.04999924,34.40000153,2193700
5/5/25,33.83000183,35.22999954,33.52500153,34.61000061,1993800
5/6/25,34.02000046,34.43000031,33.45999908,33.83000183,1707600
5/7/25,34,35.56000137,33.37799835,34.97000122,3640000
5/8/25,34.97000122,37.75999832,33.13000107,36.65999985,4969000
5/9/25,37.95999908,38.79000092,37.27999878,37.74000168,2039200
5/12/25,41.13999939,42.24000168,40,41.27000046,5374400
5/13/25,41.84999847,43.79999924,41.29999924,42,2186700
5/14/25,42,43.43000031,41.00999832,41.93000031,1828400
5/15/25,41.16999817,41.86299896,39.75,40.54000092,1930800
5/16/25,40.52000046,41,39.92499924,40.43999863,2132500
5/19/25,39.33000183,39.5,38.52999878,38.77999878,1765400
5/20/25,38.77999878,41.11100006,38.45000076,40.18000031,1756400
5/21/25,40.04000092,40.47999954,38.34999847,38.59999847,1816200
5/22/25,38.40000153,39.2840004,37.77000046,37.84000015,1764900
5/23/25,36.25,37.56700134,35.79000092,37.27999878,1232900
5/27/25,37.94499969,38.61999893,37.5,38.18000031,1411000
5/28/25,38.40000153,38.90999985,37.79999924,38.58000183,1055800
5/29/25,39.04000092,39.22499847,37.68500137,38.59999847,1501900
5/30/25,38.18999863,38.45000076,36.68000031,37.68999863,5499600
6/2/25,37.54000092,37.88000107,36.20700073,37.33000183,1621000
6/3/25,37.45000076,39.24000168,36.86999893,38.63999939,1294000
6/4/25,38.63999939,40.27000046,38.34999847,39.81999969,1860500
6/5/25,39.375,40.45000076,37.33000183,39.11999893,5456000
6/6/25,39.72999954,40.15499878,38.52999878,39.15000153,10955500
6/9/25,40.27000046,42.23500061,39.54999924,41.81999969,10990300
6/10/25,41.79000092,42.65999985,40.75,41.59000015,4056300
6/11/25,42.38000107,43.22999954,39.88999939,40.22999954,3891800
6/12/25,39.66999817,41.83000183,39.43999863,41.29999924,2052000
6/13/25,41,42.83000183,40.77999878,42.5,2755900
6/16/25,43.36999893,44.84999847,42.56000137,44.20999908,2901800
6/17/25,44.22999954,44.55899811,43.53499985,44.09000015,2914900
6/18/25,45,47.43000031,44.86000061,46.61999893,3351400
6/20/25,46.97999954,48.20999908,44.75999832,46.58000183,4762700
6/23/25,46.36000061,48.25,45.80400085,46.95000076,1791600
6/24/25,47.18000031,48.75,46.70999908,47.34000015,1740600
6/25/25,47.34000015,48.15999985,47.04999924,47.25,2357900
6/26/25,49.59500122,49.81999969,47.06999969,47.43999863,3449600
6/27/25,47.22999954,47.74000168,46.18999863,47.15000153,3624000
6/30/25,47.22999954,47.34000015,45.33000183,45.34999847,3034600
7/1/25,45.70000076,45.91500092,44.29999924,44.95999908,2893400
7/2/25,44.52000046,46.24000168,44.16999817,46.20999908,3509400
7/3/25,46.09500122,47.31999969,45.88999939,46.40999985,1441600
7/7/25,47.13999939,47.23500061,45.09000015,45.22000122,2446100
7/8/25,46.11999893,47.25,45.61000061,46.16999817,2347200
7/9/25,46.11999893,47.09000015,45.98500061,46.20000076,1575100
7/10/25,47.36999893,47.75,46.61999893,46.95000076,1734300
7/11/25,46.29000092,47.41500092,45.82500076,46.09000015,1242000
7/14/25,44.63000107,44.84999847,41.45999908,42.47999954,5486900
7/15/25,42.79999924,43.45000076,42.51499939,42.72000122,2398200
7/16/25,42.75999832,42.95999908,40.29999924,41.36000061,2338400
7/17/25,41.40000153,42.25999832,41.04000092,41.52000046,2290100
7/18/25,41.54000092,42.28499985,40.84000015,42.18999863,1678600
7/21/25,41.72800064,42.27999878,40.54999924,41.61000061,2174200
7/22/25,41.50999832,41.97999954,40.88999939,41.36000061,1846700
7/23/25,41.06000137,43.65000153,41.06000137,43,2220800
7/24/25,43.08000183,43.5,42.02999878,42.06000137,1347100
7/25/25,42.47999954,42.60499954,41.5,42.47999954,869200
7/28/25,43.08000183,43.24000168,41.56999969,41.88999939,851300
7/29/25,42.25999832,43.18999863,41.67699814,42.93000031,1202600
7/30/25,42.06999969,43.47000122,42.06999969,43.38999939,1334800
7/31/25,43.72999954,44.61999893,42.24300003,42.91999817,1849200
8/1/25,42.18000031,42.22499847,40.09999847,41.33000183,1661800
8/4/25,42.11000061,42.54000092,41.59999847,42.50999832,1540000
8/5/25,42.52999878,43.39500046,41.36999893,41.93000031,1422900
8/6/25,42.72000122,43,41.61500168,42.09999847,1553800
8/7/25,42,42.34999847,40.52999878,40.68999863,2207200
8/8/25,41.40999985,44.84999847,41,44.34000015,3516500
8/11/25,45.70000076,46.34999847,43.16999817,43.36999893,3095000
8/12/25,45.20999908,47.86000061,45,46.83000183,3204500
8/13/25,47.02000046,48.45999908,46.79999924,47.00999832,2348500
8/14/25,46.43000031,47.26399994,46.08000183,46.68000031,3549300
